id,strand,fiveseen,polyAseen,threeseen,fiveend,polyAend,threeend,primer,chimera
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/122299/1002_62_CCS,-,1,1,1,31,971,1004,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/122461/31_1114_CCS,+,1,1,1,31,1114,1143,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/122514/30_989_CCS,+,1,1,1,30,989,1017,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/122602/30_1385_CCS,+,1,1,1,30,1385,1413,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/122702/30_1324_CCS,+,1,1,1,30,1324,1361,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/122885/31_918_CCS,+,1,1,1,31,918,949,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123104/31_1019_CCS,+,1,1,1,31,1019,1048,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123114/30_937_CCS,+,1,1,1,30,937,964,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123180/1421_57_CCS,-,1,1,1,31,1395,1423,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123191/28_1125_CCS,+,1,1,1,28,1125,1159,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123250/1014_70_CCS,-,1,1,1,29,973,1014,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123402/31_1110_CCS,+,1,1,1,31,1110,1139,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123439/1142_59_CCS,-,1,1,1,30,1113,1143,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123484/30_1550_CCS,+,1,1,1,30,1550,1588,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123573/1017_56_CCS,-,1,1,1,29,990,1024,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123629/1004_58_CCS,-,1,1,1,31,977,1006,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123707/30_974_CCS,+,1,1,1,30,974,1009,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123738/31_979_CCS,+,1,1,1,31,979,1023,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123799/30_1158_CCS,+,1,1,1,30,1158,1191,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123837/1143_58_CCS,-,1,1,1,30,1115,1144,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123864/31_970_CCS,+,1,1,1,31,970,999,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/123872/1488_58_CCS,-,1,1,1,31,1461,1490,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124045/1005_58_CCS,-,1,1,1,30,977,1006,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124072/30_1022_CCS,+,1,1,1,30,1022,1062,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124105/32_1034_CCS,+,1,1,1,32,1034,1078,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124136/1327_60_CCS,-,1,1,1,30,1297,1328,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124218/30_1150_CCS,+,1,1,1,30,1150,1181,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124236/31_1000_CCS,+,1,1,1,31,1000,1025,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124237/1399_60_CCS,-,1,1,1,30,1369,1400,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124255/1333_55_CCS,-,1,1,1,30,1308,1334,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124273/1034_62_CCS,-,1,1,1,31,1003,1036,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124314/1149_66_CCS,-,1,1,1,31,1114,1151,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124373/31_914_CCS,+,1,1,1,31,914,946,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124413/31_1565_CCS,+,1,1,1,31,1565,1593,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124565/1355_63_CCS,-,1,1,1,32,1324,1358,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124593/1360_57_CCS,-,1,1,1,31,1334,1365,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/124877/1010_62_CCS,-,1,1,1,31,979,1012,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/125157/1145_62_CCS,-,1,1,1,31,1114,1147,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/125165/1018_70_CCS,-,1,1,1,31,979,1020,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/125551/29_1110_CCS,+,1,1,1,29,1110,1145,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/125584/1136_56_CCS,-,1,1,1,31,1111,1138,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/125608/1299_58_CCS,-,1,1,1,31,1272,1301,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/125680/31_978_CCS,+,1,1,1,31,978,1005,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/125731/963_74_CCS,-,1,1,1,31,920,965,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/125824/30_1132_CCS,+,1,1,1,30,1132,1160,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/125905/29_1012_CCS,+,1,1,1,29,1012,1041,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/126037/1491_59_CCS,-,1,1,1,31,1463,1493,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/126225/30_964_CCS,+,1,1,1,30,964,994,1,0
m160910_214033_42215_c101101372550000001823258404261746_s1_p0/126259/31_1118_CCS,+,1,1,1,31,1118,1150,1,0
